Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Sweden,71.7,25.9,50.2,65.8,72.6,98.1,2022
Austria,71,27.1,50.5,65.9,66,77.3,2022
Canada,70.2,34.3,53.4,70,67.9,88,2022
United States,70.1,42.1,57,70.4,70.1,106.3,2022
United Kingdom,69.7,31.8,51.9,56.6,76.8,88.8,2022
Lebanon,69.6,24.8,48.6,66.8,54.2,35.1,2022
Malta,67.8,29.7,50,59.6,72.4,44.2,2022
Macao,66.8,43,55.6,67.9,51.3,69.3,2022
Puerto Rico,66.5,18.4,44,69.6,55.6,72.8,2022
Italy,66.5,20.6,44.9,58,70.6,61.7,2022
Seychelles,65.9,32.4,50.2,61.5,77,19.4,2022
Germany,65.6,27.6,47.8,52.3,60.9,103.1,2022
Qatar,62.8,48.2,56,55,63,93.7,2022
Taiwan,62.4,17.7,41.4,76.2,29.4,58.3,2022
Cyprus,59,22.4,41.8,49.2,61.1,57.3,2022
United Arab Emirates,58.3,43.3,51.3,46.7,61.5,92.2,2022
Palestine,58.1,11,36,51.2,44.6,39.8,2022
Maldives,57.7,30.2,44.8,56.6,34.7,28.6,2022
Greece,56.2,12.7,35.8,44.7,52.2,39.7,2022
Cuba,55,15.2,36.4,47.9,33.5,1.4,2022
Trinidad And Tobago,54.9,16,36.6,54,53.7,38.5,2022
Bahrain,54.8,29.2,42.8,44.6,48.9,61.4,2022
Slovenia,53.9,17.9,37,47.7,46.7,59.5,2022
Spain,53.9,21.3,38.6,45.7,54,70,2022
Estonia,53.7,16.4,36.2,42.3,56.4,63.5,2022
Yemen,53.1,6.7,31.4,67.1,24.7,14.4,2022
Uruguay,52.1,13.9,34.2,44,49.4,30.1,2022
Suriname,51.8,9.7,32.1,45.9,79.6,13.4,2022
Panama,51.4,21.7,37.5,52.2,43.4,33.1,2022
Belize,51.3,11.6,32.7,48.8,36.6,45.7,2022
Saudi Arabia,50.4,11.7,32.2,42.6,35.5,91.8,2022
Senegal,50.2,23,37.5,42.2,46.2,23.5,2022
Jamaica,49.7,15.1,33.5,53.4,35,30.3,2022
Oman,49.4,16.8,34.1,46.5,43.2,84.2,2022
Jordan,49.2,9.2,30.5,40.8,41.2,31.3,2022
Cambodia,49.1,15.7,33.4,50.6,22.9,13.3,2022
Croatia,48.9,13.4,32.3,42,41.3,47.5,2022
Kuwait,48.7,31.3,40.5,35.6,47.5,78.6,2022
Latvia,48.5,11.8,31.3,38.4,42.1,51.6,2022
Libya,48.3,12.9,31.7,54,34.1,33.2,2022
Czech Republic,48.2,18.4,34.3,42.8,36.7,66.5,2022
Portugal,47.9,20.7,35.2,39,40.3,46.8,2022
Ethiopia,47.5,16.9,33.1,36.7,18,10.1,2022
Ivory Coast,47,17.7,33.3,40.2,32,6.9,2022
Costa Rica,47,14.7,31.9,45.5,41.7,39.9,2022
Zimbabwe,45.7,8.8,28.4,39.9,38.1,19.1,2022
Lithuania,45.6,15,31.3,36.2,46.6,58.7,2022
Slovakia,44.7,16.1,31.3,39.7,36.1,54.7,2022
El Salvador,44.4,13.2,29.8,44.3,35.5,21.2,2022
Mauritius,44.1,11,28.6,45.6,33.4,29.6,2022
Chile,43.9,13.5,29.7,38.9,43.3,33.3,2022
Guatemala,43.5,15.6,30.4,41.9,32.6,26.4,2022
Thailand,43.2,14.7,29.8,45.1,22.6,31.6,2022
Venezuela,43.2,10,27.6,37.3,46.2,15.4,2022
Fiji,43.2,17.8,31.3,48.1,37.4,35.9,2022
South Africa,42.1,16.6,30.1,34.8,41.3,78.4,2022
Dominican Republic,41.8,9.6,26.7,38.5,34.3,21.1,2022
China,41.8,16.5,29.9,46,28.4,60,2022
Hungary,40.7,11.9,27.2,35.2,32.8,52,2022
Honduras,40.5,10.3,26.3,34.7,28.7,32.1,2022
Botswana,40.2,10.2,26.1,35.2,42.5,62.6,2022
Nicaragua,39.6,8.7,25.1,38.1,27.5,17.6,2022
Cameroon,39.5,6.9,24.2,40.4,26.3,15.4,2022
Poland,39,14.4,27.5,32.4,33.5,60,2022
Montenegro,38.9,12.9,26.7,31.8,33.2,34.2,2022
Bulgaria,38.4,9.1,24.6,34,32.4,46,2022
Vietnam,37.5,13.2,26.1,38.7,20,29.4,2022
Iran,37.4,17,27.9,29.5,25.2,18,2022
Ecuador,37.3,11.3,25.1,34.5,28.6,31.8,2022
Philippines,37.1,9.6,24.2,37.8,20.6,21.5,2022
Malaysia,37,9.9,24.3,39.4,20.8,55.3,2022
Serbia,36.2,8.7,23.3,28.2,29.2,37.8,2022
Ghana,36.2,19.3,28.3,37.5,30.1,16.8,2022
Bosnia And Herzegovina,36.1,6.8,22.4,31.1,25.3,44.1,2022
Indonesia,35.9,9.8,23.6,38.3,17.7,21.1,2022
Myanmar,35.7,21.2,28.9,37.6,20,13.8,2022
Albania,35.5,8.5,22.8,29.3,25.8,30.2,2022
Mexico,35.3,12.6,24.7,34.8,32.7,38.6,2022
Russia,35.3,13.1,24.9,29.9,34.6,37.4,2022
Romania,35.2,10.2,23.5,31.4,30,48.1,2022
Bolivia,34.8,10.2,23.2,31.3,25,36,2022
Mongolia,34.7,11.2,23.7,36.1,22.8,24.3,2022
Argentina,34.7,7.7,22,28.2,33.3,30.7,2022
Somalia,34.6,5.2,20.8,39.4,26.6,29.4,2022
Iraq,34.5,10.6,23.3,30.5,28.3,40.9,2022
Kenya,33.9,8.7,22.1,31.3,28.8,32.2,2022
Armenia,33.9,11.6,23.4,27.6,30.5,28.9,2022
Morocco,33.8,9,22.2,30.6,24.5,34.4,2022
Uganda,33.5,9.2,22.1,31,24.8,11.4,2022
Brazil,33.2,8.3,21.5,28.2,25.2,27.8,2022
Bangladesh,33.1,4.4,19.7,30.4,21.7,25.3,2022
Zambia,33,9.3,21.9,31.5,22.5,40.3,2022
Tanzania,32.8,12.4,23.2,30,24.9,16,2022
Peru,32.5,11.2,22.5,30.7,21.5,28.2,2022
Rwanda,31.6,15.9,24.3,27.7,28,26.8,2022
North Macedonia,31.4,6.1,19.5,27,21,35.4,2022
Sri Lanka,31.3,8.2,20.5,37.7,17.3,19.3,2022
Belarus,30.9,9.8,21,27.2,31.6,31.8,2022
Ukraine,30.7,10.6,21.3,26.3,25.7,37.2,2022
Nigeria,30.5,36,33.1,33.7,20.9,9.3,2022
Moldova,30.3,8.7,20.2,25,27.1,33.4,2022
Paraguay,30.2,10,20.8,25.4,24.2,26.1,2022
Georgia,30.2,9.3,20.4,26.4,27.9,31.1,2022
Azerbaijan,29.7,7.9,19.5,26.6,26.7,27.3,2022
Egypt,29.5,5.8,18.4,27.4,23.4,21.5,2022
Syria,28.8,5.2,17.7,29.3,22.8,6.6,2022
Kazakhstan,28.7,9.4,19.7,25.3,27.2,32.2,2022
Turkey,28.3,6.6,18.2,22.6,18.4,32.9,2022
Nepal,28.3,4,16.9,26.4,20.4,23,2022
Tunisia,27.9,5.3,17.3,27.4,16,27.8,2022
Uzbekistan,27.3,9.3,18.9,26.8,24.2,22.4,2022
Kosovo (Disputed Territory),27.1,8,18.1,24.8,19.5,43.9,2022
Algeria,26.9,4.6,16.4,28.8,14.5,24.6,2022
Colombia,26.7,8.2,18,23.5,19.4,28.9,2022
India,24.4,5.3,15.5,26.4,17.6,49.7,2022
Afghanistan,20.4,2.7,12.1,14.9,12.4,23,2022
Pakistan,19.9,3.9,12.4,17.8,15.5,26.6,2022
Bermuda,141.8,96.3,120,143.3,142,79.5,2023
Switzerland,114.2,50.2,83.5,113.9,109.5,118.7,2023
Cayman Islands,103.4,75.7,90.1,96.4,92.4,76.7,2023
Bahamas,90.9,39.6,66.3,74.1,94.8,43.2,2023
Barbados,88.8,21.2,56.4,80.1,82.7,36.8,2023
Norway,88.6,30.9,60.9,81.8,90.6,95,2023
Singapore,85.9,85.3,85.6,74,58.4,95.6,2023
Iceland,83.3,36.7,61,78.3,86.9,90.1,2023
Jersey,80,53.9,67.4,62.4,90.8,72.6,2023
Denmark,78.6,30.4,55.5,62.4,91.9,105,2023
Israel,76.4,30.4,54.4,63.8,85,80.5,2023
Hong Kong (China),75.7,66.3,71.2,79.5,53.6,67.7,2023
Australia,75.3,39,57.9,73.3,66.2,110.9,2023
Luxembourg,73.2,48.3,61.3,67,78.9,127.1,2023
New Zealand,72.9,31.9,53.2,69.4,69.7,93,2023
United States,72.4,47.1,60.3,71.4,70.8,115.7,2023
Guernsey,71,46.2,59.1,66.1,70.5,77.2,2023
Ireland,70.5,44.4,58,55.8,71.9,82.6,2023
South Korea,70.4,17.5,45,87.5,37.6,85.5,2023
Macao (China),68.8,34.9,52.5,74.4,48.2,80.2,2023
France,68.7,24.6,47.5,65.1,66.9,86.2,2023
Netherlands,68.6,33.4,51.7,57.4,67.6,107.8,2023
Finland,67.5,22.7,46,58.2,70.4,98.8,2023
Puerto Rico,67,23.2,46,66.4,59,62.1,2023
Canada,66.1,33.4,50.4,64.2,62.8,102.1,2023
Austria,66,23.1,45.4,58,63.5,91.2,2023
Lebanon,65.8,19.2,43.5,65.3,48,22.7,2023
Belgium,65.6,22.4,44.9,54.5,69,94.5,2023
Japan,64.6,20.8,43.6,66.5,37.9,100.4,2023
Germany,62.9,26.1,45.3,50.9,56.2,107.6,2023
Sweden,62.9,22.7,43.6,55.2,64.3,101.2,2023
Isle Of Man,61.8,27.8,45.5,50.1,76.5,167.7,2023
United Kingdom,61.5,30.3,46.6,47.7,67.9,98.9,2023
Malta,61.4,25.7,44.3,52,64.7,50.6,2023
Italy,61.3,20.5,41.7,51.9,61.9,66.5,2023
United Arab Emirates,60.3,34,47.6,46.6,56.6,123.4,2023
Uruguay,59.9,15.9,38.8,48.1,59.5,38.4,2023
Qatar,59.5,50,54.9,47.7,58.3,123.6,2023
Yemen,58.8,7.9,34.4,66.6,31.2,18.6,2023
Cyprus,55.9,27.4,42.2,45,55,54.8,2023
Brunei,55.2,17.9,37.3,64.5,33.8,60.7,2023
Maldives,55,27,41.6,49.8,34.6,33.9,2023
Estonia,54.8,16.4,36.4,42.4,55.1,61.4,2023
Greece,54.6,12.9,34.6,42.4,50.1,41.9,2023
Taiwan (China),54.2,15.3,35.5,63.3,27.9,71.3,2023
Jamaica,53.6,13.6,34.4,55.1,37.1,28.9,2023
Trinidad And Tobago,53.3,13.7,34.3,51.5,50.4,38.9,2023
Bahrain,52.7,25.4,39.6,40.9,47.3,81.7,2023
Cuba,52.6,16,35.1,48.6,29.9,1.6,2023
Latvia,50.9,10.9,31.7,40.2,43.7,52.9,2023
Slovenia,50.8,16.6,34.4,43.9,43.6,61.7,2023
Palestine,50.7,9.6,31,43.7,37.5,39.8,2023
Spain,50.6,21.7,36.7,41,51.5,82.5,2023
Saudi Arabia,50.6,12,32.1,41.7,38,101.9,2023
Czech Republic,48.9,19.1,34.7,40.7,36.6,71.8,2023
Costa Rica,48.8,14.9,32.5,46.7,41.4,41.5,2023
Lithuania,48.8,16.8,33.4,39,48.1,56.7,2023
Panama,48.2,19.7,34.5,46,41.4,36.4,2023
Belize,48,11.7,30.6,44.8,30.8,49.2,2023
Oman,47.8,15.8,32.5,42.6,40.1,108.2,2023
Guyana,47.3,9.5,29.2,48.7,42.2,23.3,2023
Kuwait,46.8,27.1,37.4,32.9,42.2,96.7,2023
Jordan,46.8,8.8,28.6,38.7,40.6,38,2023
Croatia,46.7,12.2,30.2,39.5,39.5,56.2,2023
Senegal,46.4,22.2,34.8,38.1,43.3,21.7,2023
Portugal,45.3,21.9,34.1,36,38.7,51.7,2023
Cambodia,44.5,13.8,29.8,43.9,26.2,15.5,2023
Slovakia,44.2,14.9,30.2,40,33.6,56.3,2023
Chile,44.1,13.4,29.4,39.9,42.4,37.3,2023
El Salvador,43.3,14.8,29.6,43.5,31.3,22.7,2023
Ivory Coast,42.7,15.5,29.6,35.2,27.5,7.8,2023
Ethiopia,42.3,17.1,30.2,34.3,19.7,11.6,2023
Mauritius,42.2,10.9,27.2,41.6,32.3,30.8,2023
Dominican Republic,41.8,11.9,27.5,36.8,33.9,23,2023
Venezuela,41.6,7.4,25.2,37.1,43.6,12.4,2023
Russia,40.8,12.8,27.4,33.4,39.2,40.9,2023
Armenia,40.8,23.5,32.5,34.3,36.1,25.5,2023
Zimbabwe,40.8,11.5,26.7,35,32.5,18.7,2023
Thailand,40.7,13.3,27.6,42,21,33.2,2023
Bulgaria,40.5,10,25.9,35.7,35.8,51.2,2023
Guatemala,40.2,13.8,27.5,38.9,28.5,29.7,2023
Hungary,39.2,11.6,26,34.8,32.3,53.1,2023
China,39.2,18.8,29.4,41,27,62.3,2023
Georgia,38.9,19.3,29.5,33.9,36.7,25.9,2023
Montenegro,38.9,13.5,26.7,32.4,32.9,40.4,2023
Honduras,38.8,9.3,24.7,33.1,26.2,35.4,2023
Poland,38.6,16,27.8,30.8,34,64,2023
Fiji,38.5,15.1,27.3,41.9,30.7,65.5,2023
South Africa,37.8,14,26.4,30.1,34.8,83.9,2023
Albania,37.4,9.1,23.9,31.3,26.5,30.1,2023
Romania,37.4,9.9,24.2,32,33,52.5,2023
Mexico,37.3,12.8,25.5,36.6,34,43.5,2023
Serbia,37.2,10.6,24.4,30.6,30.2,39.6,2023
Nicaragua,36.8,7.8,22.9,34.3,26,21.7,2023
Namibia,35.8,11.8,24.3,30.9,39.1,51.3,2023
Vietnam,35.7,11.2,24,35.9,18.1,31.5,2023
Belarus,35.4,10,23.2,31,37.2,36.4,2023
Iran,35.2,14.6,25.3,26.2,24.6,21.1,2023
Bosnia And Herzegovina,35.1,5.9,21.1,30.8,21.8,48.6,2023
Ecuador,35.1,9.7,22.9,31.9,26.6,37,2023
Malaysia,35,9.8,22.9,36.7,20.5,65.7,2023
Brazil,34.7,8.3,22.1,29.3,26.4,28.7,2023
Botswana,34.4,7.5,21.5,30.5,32.7,63.6,2023
Philippines,34,9.8,22.4,33.4,20.9,22.4,2023
Cameroon,33.6,5.7,20.3,33.8,22.3,18.4,2023
Myanmar,32.9,20,26.7,33.8,18.4,29.7,2023
Peru,32.4,11.1,22.2,29.4,22.3,31.3,2023
Kenya,32.4,7.8,20.6,29.8,27,32.8,2023
Moldova,32.3,8.3,20.8,26.8,27.7,33.1,2023
Uganda,32.1,9,21,27.8,23.1,12.5,2023
Bolivia,31.9,8.2,20.5,27.8,23.4,37.4,2023
Iraq,31.4,9.2,20.8,26.6,25.1,44.5,2023
North Macedonia,31.4,5.7,19.1,27.1,21.3,38.2,2023
Mongolia,31.2,8.3,20.2,31.2,25.5,24.3,2023
Argentina,31.2,6.9,19.5,25.7,26.8,36.8,2023
Indonesia,31.2,8.3,20.2,33.1,16,27.5,2023
Nigeria,30.9,33.3,32,32.4,22.2,8.4,2023
Tanzania,30.8,9.9,20.8,28.4,21.9,20.5,2023
Rwanda,30,14.2,22.4,26.3,24.2,30,2023
Morocco,29.3,7.5,18.8,25.4,19.7,33.6,2023
Azerbaijan,28.9,7.5,18.7,25.4,26.9,32,2023
Paraguay,28.6,9.3,19.4,24.4,21.4,27.8,2023
Kosovo (Disputed Territory),28.4,8,18.6,25.1,19.6,37.6,2023
Kazakhstan,28.1,11.5,20.2,25,26.4,38.1,2023
Turkey,28.1,7.2,18.1,23.2,18.3,31,2023
Algeria,27.6,4.3,16.5,30.1,13.6,26.9,2023
Uzbekistan,27,10.7,19.2,25.4,22.9,24.8,2023
Ghana,26.7,14.6,20.9,26.5,23.6,17.2,2023
Bangladesh,26.6,3.2,15.4,25.2,16.6,26.9,2023
Tunisia,26.5,5,16.2,25.6,14.4,30,2023
Syria,26.1,4.5,15.7,23.7,19,5.5,2023
Kyrgyzstan,25.9,9.3,18,24.7,23.5,25.5,2023
Ukraine,25.6,8.1,17.2,22.2,21.2,38.1,2023
Sri Lanka,25.3,5.4,15.8,31,12,16,2023
Nepal,24.8,3.7,14.7,22.8,17.3,21.8,2023
Libya,24.2,5.2,15.1,23.1,19.3,32.1,2023
Colombia,23.1,7,15.4,21,17.3,31.1,2023
India,22.4,5.5,14.3,23.3,15.7,64.6,2023
Egypt,21.6,4.3,13.3,19.6,18,21.9,2023
Pakistan,18,3.4,11,15.4,13.7,24.4,2023
Bermuda,133.6,91.4,113.6,143.6,124.2,84.3,2024
Switzerland,112.2,52.8,84,116.7,104.1,118.9,2024
Cayman Islands,111.7,76,94.8,109,99.5,73.7,2024
Us Virgin Islands,102.6,47.9,76.7,104.1,83.5,55.8,2024
Bahamas,88.5,41.8,66.3,80.5,80.4,38,2024
Iceland,85.7,41,64.5,86.5,88,109.1,2024
Singapore,81.9,71.9,77.1,75,55.3,103,2024
Barbados,79.4,19.9,51.2,78.6,71.8,34.4,2024
Norway,79.2,27.8,54.8,77.5,75.9,94.9,2024
Denmark,75.2,28.6,53.1,65,82.6,103.3,2024
Jersey,74.3,52.5,64,64.1,93.6,72,2024
United States,72.9,44.7,59.5,74.2,68.4,120.9,2024
Australia,72.8,36.6,55.6,73.9,66.9,93.6,2024
Hong Kong (China),71.5,61.4,66.7,79.6,47,84.1,2024
Canada,68.4,36,53.1,70.7,64,83.3,2024
New Zealand,68.2,28.8,49.5,71.7,58.8,93,2024
Guernsey,67.5,46.7,57.6,68.8,63.6,83.2,2024
Israel,67.2,31.2,50.1,60.2,71.9,79.5,2024
Austria,66.8,23.7,46.4,64.8,59,84.4,2024
Ireland,66.5,47.3,57.4,58.9,65.9,82,2024
France,66,22.3,45.3,68.6,57.9,83.4,2024
Finland,65.5,20.8,44.3,61.6,63.8,97.3,2024
Luxembourg,65.3,42.4,54.4,65.1,69.4,148.9,2024
Puerto Rico,64.4,25.3,45.9,64.1,50.3,77.1,2024
South Korea,64.4,17.1,42,83.1,32.4,90.6,2024
Netherlands,64.3,34.5,50.2,57.4,61,103.3,2024
United Kingdom,63.7,33.5,49.4,55.5,63.9,90.1,2024
Belgium,63,21.4,43.3,56.1,67.8,90.7,2024
Germany,62.7,26.3,45.4,57.6,52.5,101,2024
Sweden,62.2,23.1,43.6,61.8,56.1,94.6,2024
Isle Of Man,59.8,27.4,44.5,48.7,67.9,167.1,2024
Italy,58.9,21.1,41,56.8,55,62.8,2024
United Arab Emirates,57.8,46.9,52.6,45,50,98.7,2024
Cyprus,57.1,25,41.8,49.3,54,59.4,2024
Macao (China),56.2,30.5,44,64,38.6,96.9,2024
Yemen,56.1,7.1,32.8,64,30.2,17.1,2024
Uruguay,55.3,15.2,36.3,50.3,50.4,47,2024
Malta,55.1,25.3,40.9,49.9,57.5,58.3,2024
Qatar,55,40.4,48.1,44.3,49.5,127.4,2024
Greece,54.2,13.6,34.9,47.9,52.9,42.1,2024
Bahrain,53.7,22.6,39,46.4,43.4,83.6,2024
Costa Rica,53.6,16.5,36,54.2,44.1,37,2024
Trinidad And Tobago,53.6,13.3,34.5,53.9,44.6,35.4,2024
Jamaica,53.1,13.4,34.3,57.2,38.4,28.1,2024
Estonia,53,15.5,35.2,45.2,48.8,69,2024
Latvia,51.4,11.7,32.6,42.6,46.2,51.9,2024
Japan,50.7,15.1,33.8,55.4,30.9,99.5,2024
Brunei,50.5,17.4,34.8,65.6,25.6,87,2024
Maldives,50,23.1,37.3,47.5,28,40.8,2024
Slovenia,49.3,17,34,46.3,41.2,68,2024
Taiwan,49,13.7,32.2,61.8,24.8,80,2024
Czech Republic,48.6,21,35.5,44.1,34.5,64.9,2024
Lithuania,48.4,15.8,32.9,43.6,45.1,61.8,2024
Spain,48.4,23.6,36.6,45.1,44,78.2,2024
Belize,48,10.7,30.3,47.4,27.9,52.4,2024
Slovakia,47.9,15.1,32.4,45.1,35.5,55.8,2024
Panama,47.4,21.5,35.1,46.4,43.2,34.7,2024
Saudi Arabia,47.4,12.2,30.7,40.8,32.9,105.1,2024
Croatia,46.9,14.5,31.5,42.6,42.6,58,2024
Portugal,46.6,25.4,36.5,42.9,37.9,46.5,2024
Lebanon,46.3,16.5,32.2,33.4,37.8,20.7,2024
Guyana,46.2,11.5,29.8,48.2,44.8,21.9,2024
Cuba,45.6,10.6,29,41.3,25.5,1.7,2024
Ivory Coast,44.7,16.8,31.5,38.3,27.5,8.5,2024
Oman,44.4,13.3,29.7,39.5,33.5,109.6,2024
Senegal,44,22.7,33.9,40.1,37.9,18,2024
Mexico,43.8,17,31.1,45.6,36.7,38,2024
Kuwait,43.4,24.3,34.4,33.8,36.9,128.5,2024
Hungary,43.4,11.3,28.2,39.5,36.7,49.8,2024
Palestine,43.3,8.4,26.8,40.6,27.4,37.4,2024
Ethiopia,43.1,15.1,29.8,42.4,19.5,10.4,2024
Jordan,43,7.6,26.2,36.9,35.8,36.4,2024
Mozambique,43,20.6,32.4,35,37.6,12.5,2024
Poland,41.9,19.2,31.1,35.9,35.7,66.2,2024
El Salvador,41.1,16.8,29.6,42.7,30.5,22.2,2024
Montenegro,40.9,16.6,29.4,36.3,35.6,41.8,2024
Albania,40.8,10.2,26.3,39.4,31,31.6,2024
Chile,39.9,11.5,26.4,40.6,35.1,36.4,2024
Mauritius,39.8,11,26.2,41.4,27.1,32.8,2024
Zambia,39.7,9,25.2,30.8,19.6,17.4,2024
Cameroon,39.6,18.3,29.5,33.4,38.5,8.4,2024
Venezuela,39.4,5.7,23.4,38.3,38.5,12.6,2024
Dominican Republic,39,11.2,25.8,36.6,33.2,23.5,2024
Romania,38.8,10.6,25.4,36.4,35,48.4,2024
Bulgaria,38.7,9.9,25.1,37.6,32.8,52.6,2024
Armenia,38.6,19.5,29.5,34.1,36.2,32.1,2024
Myanmar,38.6,15.3,27.5,31.2,16.1,16,2024
Cambodia,38.5,10.2,25.1,41.6,22.2,16.9,2024
Serbia,38.3,12.7,26.2,35,30.4,39.6,2024
Guatemala,37.7,12.9,25.9,39.1,27.9,29.7,2024
Honduras,37.3,10.3,24.5,36.6,26.5,35.1,2024
Georgia,37.2,15.5,26.9,35.7,34.5,27.9,2024
Zimbabwe,37,10.1,24.2,33.4,26.1,21.5,2024
Thailand,36,12.4,24.8,41,18.4,32.9,2024
Brazil,35.2,9,22.8,32.4,26,30.1,2024
Fiji,34.8,15.2,25.5,40,27.7,64,2024
Bosnia And Herzegovina,34.7,5.7,21,32.7,22,47.1,2024
Moldova,34.6,9.8,22.8,31,26.6,35.2,2024
China,34.1,13.4,24.3,37.6,21,60.5,2024
North Macedonia,34.1,6.8,21.1,31.2,22.8,37,2024
Turkey,33.8,13.2,24,30.3,25.8,39.3,2024
South Africa,33.8,11.8,23.4,27.6,28.7,84.7,2024
Ecuador,33.6,8.9,21.9,34,24.8,36.4,2024
Philippines,33.6,8.3,21.6,35.2,17.9,25.9,2024
Nicaragua,33.6,8.7,21.8,37.3,21.6,18.1,2024
Kazakhstan,33.5,13.6,24,31.9,29.7,36.8,2024
Sri Lanka,33.2,6,20.3,44.6,16.7,14.4,2024
Mongolia,32.7,11,22.4,37.2,21.9,23.5,2024
Kosovo (Disputed Territory),31.3,8.5,20.5,29.3,20.7,34.8,2024
Azerbaijan,31.1,8.1,20.2,28.4,30.1,29.4,2024
Peru,30.9,9.7,20.8,30.7,21.4,27.3,2024
Namibia,30.8,10.4,21.1,30,27.4,51.4,2024
Vietnam,30.8,9.7,20.8,34.6,14.9,32.5,2024
Colombia,30.6,8.8,20.3,30.6,20.9,28.1,2024
Malaysia,30.5,8.2,19.9,35.4,18.3,62.1,2024
Uganda,30.4,7.3,19.4,27.8,21.7,15.2,2024
Iraq,30.2,8.2,19.8,27.4,20.7,42,2024
Botswana,30.1,6.1,18.7,27.3,22.5,56.5,2024
Morocco,29.9,7.8,19.4,28.8,19.3,30.4,2024
Algeria,29.5,4.1,17.5,35.6,13.1,25.4,2024
Russia,29.5,9.9,20.2,25.9,26.2,41.5,2024
Egypt,29.1,5.5,17.9,27.8,21.7,15.2,2024
Somalia,29,4.5,17.4,30.9,23.6,30.5,2024
Tunisia,28.7,5,17.4,30,15.2,25.7,2024
Ukraine,28.6,8.5,19,26.6,22.2,32.2,2024
Indonesia,28.5,8.3,18.9,33.6,14.4,25.8,2024
Bolivia,28.3,7.4,18.4,25.9,19.7,32.3,2024
Argentina,27.8,6.8,17.8,25.6,23.6,35.8,2024
Paraguay,27.6,10.5,19.5,24.9,19.1,28.1,2024
Uzbekistan,27.1,12.1,20,27.8,20.1,28,2024
Belarus,27.1,8.2,18.2,24.4,25.3,39.6,2024
Nepal,26.9,4,16.1,24.8,17.6,20.3,2024
Iran,26.9,8.9,18.4,21.5,16.5,21.2,2024
Kyrgyzstan,26.9,11.1,19.4,25.9,20,24.5,2024
Rwanda,26.3,9.5,18.3,26.1,19.1,21.7,2024
Tanzania,26,8,17.5,25.8,20.3,21.6,2024
Ghana,26,11,18.8,27.2,22.9,14.8,2024
Madagascar,25.2,8,17,23.6,13.7,12.3,2024
Syria,25,4.1,15.1,23.5,16.5,4.7,2024
Bangladesh,24.9,2.7,14.4,26.6,14,25.8,2024
Kenya,24.8,7.1,16.4,23.8,18.3,30.6,2024
Afghanistan,22.8,2.8,13.3,17.3,13,22.4,2024
India,22.2,6.2,14.6,23.5,15.6,60.7,2024
Libya,21.2,4.4,13.3,21.5,15.2,33.7,2024
Nigeria,19.3,15.4,17.4,21.4,13.3,9.4,2024
Pakistan,18.5,2.9,11.1,16.4,12.7,24.5,2024
