Country,Year,Poverty_Percentage
Argentina,1980,0.3
Colombia,1980,20.8
Spain,1980,0.5
United Kingdom,1980,0.0
Italy,1980,0.2
Madagascar,1980,48.7
United States,1980,0.5
Australia,1981,1.0
Brazil,1981,23.9
Canada,1981,0.7
Costa Rica,1981,25.9
East Asia & Pacific,1981,82.5
United Kingdom,1981,0.0
Italy,1981,0.0
Latin America & Caribbean,1981,15.4
Lower middle income,1981,52.6
Low & middle income,1981,58.2
South Asia,1981,58.9
Sweden,1981,0.2
Thailand,1981,22.7
Upper middle income,1981,62.4
Uruguay,1981,0.0
United States,1981,0.5
Venezuela,1981,6.7
World,1981,43.8
Brazil,1982,24.4
Canada,1982,0.7
Switzerland,1982,0.7
East Asia & Pacific,1982,80.7
United Kingdom,1982,0.0
High income,1982,0.9
Italy,1982,0.0
Latin America & Caribbean,1982,16.1
Lower middle income,1982,51.9
Low & middle income,1982,57.2
South Asia,1982,57.8
Upper middle income,1982,61.2
United States,1982,0.7
World,1982,43.2
Bangladesh,1983,37.3
Brazil,1983,30.6
East Asia & Pacific,1983,78.2
United Kingdom,1983,0.0
High income,1983,0.8
India,1983,56.6
Italy,1983,0.2
Latin America & Caribbean,1983,18.9
Lower middle income,1983,50.8
Low & middle income,1983,56.0
Netherlands,1983,0.5
South Asia,1983,56.0
Upper middle income,1983,59.8
United States,1983,0.5
World,1983,42.5
Brazil,1984,29.9
Canada,1984,0.7
East Asia & Pacific,1984,74.0
France,1984,0.5
United Kingdom,1984,0.0
High income,1984,0.8
Indonesia,1984,74.2
Italy,1984,0.0
Latin America & Caribbean,1984,18.5
Lower middle income,1984,50.0
Low & middle income,1984,54.0
Morocco,1984,13.2
Malaysia,1984,3.6
South Asia,1984,54.8
Upper middle income,1984,56.4
United States,1984,0.5
World,1984,41.1
Australia,1985,1.0
Belgium,1985,0.2
Bangladesh,1985,32.7
Brazil,1985,25.8
Botswana,1985,41.8
Canada,1985,0.5
Ivory Coast,1985,8.2
East Asia & Pacific,1985,70.5
Spain,1985,0.2
United Kingdom,1985,0.2
High income,1985,0.8
Latin America & Caribbean,1985,17.1
Sri Lanka,1985,16.9
Lower middle income,1985,49.2
Low & middle income,1985,52.0
Luxembourg,1985,0.0
Middle East & North Africa,1985,7.0
Nigeria,1985,47.8
South Asia,1985,53.6
Tunisia,1985,12.3
Upper middle income,1985,53.3
United States,1985,0.5
World,1985,39.7
Argentina,1986,1.1
Brazil,1986,12.3
Canada,1986,1.0
Ivory Coast,1986,4.4
Costa Rica,1986,13.9
Dominican Republic,1986,6.9
East Asia & Pacific,1986,67.7
United Kingdom,1986,0.2
Guatemala,1986,49.7
High income,1986,0.8
Iran,1986,9.1
Israel,1986,0.2
Italy,1986,0.2
Jordan,1986,0.0
Latin America & Caribbean,1986,12.3
Lower middle income,1986,48.4
Low & middle income,1986,50.1
Lesotho,1986,54.0
Luxembourg,1986,0.0
Middle East & North Africa,1986,7.2
Norway,1986,0.2
South Asia,1986,52.5
Upper middle income,1986,50.2
United States,1986,0.5
World,1986,38.4
Argentina,1987,1.2
Brazil,1987,19.9
Canada,1987,0.5
Chile,1987,15.4
Ivory Coast,1987,9.4
Denmark,1987,0.5
East Asia & Pacific,1987,64.0
Ecuador,1987,17.6
Finland,1987,0.0
United Kingdom,1987,0.0
Ghana,1987,58.4
High income,1987,0.7
Indonesia,1987,74.3
India,1987,50.9
Ireland,1987,0.7
Italy,1987,1.0
Latin America & Caribbean,1987,14.9
Lower middle income,1987,48.2
Low & middle income,1987,48.8
Luxembourg,1987,0.0
Middle East & North Africa,1987,7.5
Mauritania,1987,41.4
Malaysia,1987,2.9
Netherlands,1987,0.2
Pakistan,1987,67.3
South Asia,1987,52.1
Sweden,1987,0.2
Upper middle income,1987,48.0
United States,1987,0.5
Venezuela,1987,7.0
World,1987,37.5
Belgium,1988,0.5
Bangladesh,1988,41.7
Brazil,1988,22.4
Canada,1988,0.7
Ivory Coast,1988,13.4
Colombia,1988,15.2
Algeria,1988,6.4
East Asia & Pacific,1988,58.7
United Kingdom,1988,0.0
Ghana,1988,57.5
High income,1988,0.7
Jamaica,1988,4.6
Latin America & Caribbean,1988,15.6
Lower middle income,1988,47.2
Low & middle income,1988,46.4
Luxembourg,1988,0.0
Middle East & North Africa,1988,7.1
South Asia,1988,50.8
Thailand,1988,18.0
Trinidad and Tobago,1988,0.0
Upper middle income,1988,44.1
United States,1988,0.5
World,1988,35.7
Australia,1989,0.7
Brazil,1989,20.4
Canada,1989,1.2
Colombia,1989,14.2
Costa Rica,1989,10.6
Dominican Republic,1989,17.5
East Asia & Pacific,1989,66.9
United Kingdom,1989,0.2
Guatemala,1989,37.0
High income,1989,0.7
Honduras,1989,40.0
IDA total,1989,54.2
Italy,1989,0.0
Latin America & Caribbean,1989,15.1
Lower middle income,1989,46.9
Low & middle income,1989,49.5
Luxembourg,1989,0.0
Middle East & North Africa,1989,7.0
Mexico,1989,8.7
Malaysia,1989,2.2
Panama,1989,22.4
South Asia,1989,50.4
Sierra Leone,1989,67.1
El Salvador,1989,18.9
Uganda,1989,58.7
Upper middle income,1989,50.4
Uruguay,1989,0.7
United States,1989,0.5
Venezuela,1989,5.3
World,1989,38.2
Bolivia,1990,2.0
Brazil,1990,24.0
Canada,1990,1.2
Chile,1990,10.7
China,1990,72.0
Costa Rica,1990,10.4
East Asia & Pacific,1990,65.4
Europe & Central Asia,1990,3.8
Egypt,1990,5.3
Spain,1990,0.5
France,1990,0.2
United Kingdom,1990,0.0
High income,1990,0.7
Honduras,1990,42.0
IDA total,1990,54.5
Indonesia,1990,62.8
Iran,1990,8.4
Jamaica,1990,2.9
Latin America & Caribbean,1990,16.3
Sri Lanka,1990,11.6
Lower middle income,1990,46.5
Low & middle income,1990,48.9
Luxembourg,1990,0.0
Morocco,1990,4.7
Middle East & North Africa,1990,6.3
Netherlands,1990,1.0
Pakistan,1990,65.1
Paraguay,1990,1.2
South Asia,1990,50.0
Sub-Saharan Africa,1990,54.7
Thailand,1990,12.3
Tunisia,1990,8.6
Upper middle income,1990,49.3
United States,1990,0.5
World,1990,37.9
Argentina,1991,1.0
Bangladesh,1991,41.9
Canada,1991,1.2
Colombia,1991,13.4
Costa Rica,1991,12.4
Germany,1991,0.0
East Asia & Pacific,1991,63.5
Europe & Central Asia,1991,4.3
Finland,1991,0.0
United Kingdom,1991,0.0
Ghana,1991,64.2
Guinea,1991,88.0
Guinea-Bissau,1991,42.7
High income,1991,0.7
Honduras,1991,30.8
IDA total,1991,53.5
Italy,1991,0.2
Latin America & Caribbean,1991,15.8
Lower middle income,1991,45.6
Low & middle income,1991,47.9
Luxembourg,1991,0.0
Middle East & North Africa,1991,6.1
Norway,1991,0.5
Panama,1991,20.1
South Asia,1991,48.5
Senegal,1991,70.1
El Salvador,1991,22.1
Sub-Saharan Africa,1991,56.2
Tanzania,1991,69.3
Upper middle income,1991,48.0
United States,1991,0.5
World,1991,37.3
Zambia,1991,57.4
Argentina,1992,1.7
Burundi,1992,75.1
Belgium,1992,1.0
Bolivia,1992,8.7
Brazil,1992,23.3
Central African Republic,1992,82.2
Canada,1992,0.7
Switzerland,1992,0.5
Chile,1992,6.7
Ivory Coast,1992,27.1
Colombia,1992,9.6
Costa Rica,1992,9.9
Czech Republic,1992,0.0
Germany,1992,0.0
Denmark,1992,0.5
Dominican Republic,1992,7.6
East Asia & Pacific,1992,60.7
Europe & Central Asia,1992,5.6
United Kingdom,1992,0.2
Guyana,1992,29.4
High income,1992,0.9
Honduras,1992,27.0
IDA total,1992,52.2
Israel,1992,0.2
Jordan,1992,0.6
Kenya,1992,26.4
Lao PDR,1992,23.7
Latin America & Caribbean,1992,15.7
Lower middle income,1992,44.5
Low & middle income,1992,46.5
Luxembourg,1992,0.0
Middle East & North Africa,1992,5.4
Mexico,1992,7.9
Malaysia,1992,2.0
Niger,1992,84.4
Nigeria,1992,52.4
South Asia,1992,46.8
Sub-Saharan Africa,1992,57.1
Sweden,1992,0.2
Thailand,1992,9.0
Trinidad and Tobago,1992,2.1
Uganda,1992,65.1
Ukraine,1992,3.9
Upper middle income,1992,46.0
Uruguay,1992,0.6
United States,1992,0.5
Venezuela,1992,4.5
Vietnam,1992,45.1
World,1992,36.3
Argentina,1993,2.0
Belize,1993,13.5
Brazil,1993,22.1
Botswana,1993,34.1
Canada,1993,1.2
China,1993,62.7
Costa Rica,1993,8.5
Czech Republic,1993,0.0
Germany,1993,0.0
East Asia & Pacific,1993,57.9
Europe & Central Asia,1993,6.4
Spain,1993,1.2
Fragile and conflict affected situations,1993,49.0
United Kingdom,1993,0.2
Guinea-Bissau,1993,42.2
High income,1993,1.2
Honduras,1993,21.4
IDA total,1993,52.5
Indonesia,1993,62.1
India,1993,48.0
Italy,1993,1.2
Jamaica,1993,7.4
Latin America & Caribbean,1993,15.6
Lower middle income,1993,44.2
Low & middle income,1993,45.4
Luxembourg,1993,0.0
Madagascar,1993,73.3
Middle East & North Africa,1993,5.2
Mauritania,1993,42.9
Nicaragua,1993,38.3
Netherlands,1993,1.2
South Asia,1993,46.2
Sub-Saharan Africa,1993,58.2
Ukraine,1993,1.9
Upper middle income,1993,43.9
United States,1993,0.5
World,1993,35.6
South Africa,1993,33.5
Zambia,1993,59.1
Argentina,1994,1.9
Austria,1994,0.2
Burkina Faso,1994,82.1
Belize,1994,14.8
Canada,1994,1.0
Chile,1994,6.8
Costa Rica,1994,7.0
Germany,1994,0.2
East Asia & Pacific,1994,53.1
Europe & Central Asia,1994,8.0
Ecuador,1994,17.1
Spain,1994,1.0
Fragile and conflict affected situations,1994,50.0
United Kingdom,1994,0.2
Guinea,1994,41.2
High income,1994,1.3
Honduras,1994,24.3
IDA total,1994,51.2
Ireland,1994,0.2
Iran,1994,4.5
Kenya,1994,25.9
Latin America & Caribbean,1994,14.4
Lower middle income,1994,43.0
Low & middle income,1994,43.1
Lesotho,1994,53.7
Luxembourg,1994,0.0
Middle East & North Africa,1994,4.9
Mexico,1994,7.9
Mali,1994,84.5
Niger,1994,85.5
South Asia,1994,44.6
Senegal,1994,60.3
Sub-Saharan Africa,1994,58.5
Eswatini,1994,85.4
Thailand,1994,4.5
Upper middle income,1994,40.3
United States,1994,0.5
World,1994,33.9
Argentina,1995,3.9
Australia,1995,0.7
Austria,1995,0.0
Azerbaijan,1995,12.4
Belgium,1995,0.4
Bangladesh,1995,33.7
Brazil,1995,14.7
Canada,1995,0.7
Ivory Coast,1995,25.9
Costa Rica,1995,7.1
Germany,1995,0.2
Denmark,1995,0.0
Algeria,1995,5.8
East Asia & Pacific,1995,49.4
Europe & Central Asia,1995,8.0
Ecuador,1995,13.8
Egypt,1995,3.0
Spain,1995,1.5
Ethiopia,1995,69.2
Fragile and conflict affected situations,1995,50.4
Finland,1995,0.0
United Kingdom,1995,0.2
Greece,1995,1.7
High income,1995,1.2
Honduras,1995,26.2
IDA total,1995,50.7
Ireland,1995,0.2
Italy,1995,0.7
Latin America & Caribbean,1995,14.0
Low income,1995,64.3
Sri Lanka,1995,11.8
Lower middle income,1995,42.2
Low & middle income,1995,41.4
Luxembourg,1995,0.0
Middle East & North Africa,1995,4.9
Mongolia,1995,14.9
Mauritania,1995,21.8
Malaysia,1995,2.5
Norway,1995,0.5
Nepal,1995,55.2
Panama,1995,15.2
Paraguay,1995,12.4
South Asia,1995,43.8
El Salvador,1995,13.3
Sub-Saharan Africa,1995,58.1
Sweden,1995,0.2
Tunisia,1995,9.5
Ukraine,1995,7.1
Upper middle income,1995,37.8
Uruguay,1995,0.5
United States,1995,0.5
Venezuela,1995,9.9
World,1995,32.7
Albania,1996,0.5
Argentina,1996,4.2
Austria,1996,0.0
Belize,1996,18.2
Brazil,1996,16.0
Canada,1996,0.2
Chile,1996,4.7
China,1996,48.1
Cameroon,1996,50.4
Colombia,1996,17.6
Costa Rica,1996,8.2
Czech Republic,1996,0.0
Germany,1996,0.0
Dominican Republic,1996,6.5
East Asia & Pacific,1996,45.0
Europe & Central Asia,1996,8.2
Spain,1996,1.5
Fragile and conflict affected situations,1996,49.8
France,1996,0.2
United Kingdom,1996,0.2
Georgia,1996,6.8
High income,1996,1.3
Honduras,1996,28.6
IDA total,1996,49.2
Indonesia,1996,51.3
Ireland,1996,0.2
Jamaica,1996,2.6
Kazakhstan,1996,7.9
Latin America & Caribbean,1996,15.3
Low income,1996,63.2
Lower middle income,1996,40.8
Low & middle income,1996,39.3
Luxembourg,1996,0.0
Middle East & North Africa,1996,4.3
Mexico,1996,14.0
Mozambique,1996,82.7
Nigeria,1996,58.4
Pakistan,1996,22.3
Papua New Guinea,1996,52.6
South Asia,1996,42.2
El Salvador,1996,15.3
Sub-Saharan Africa,1996,57.4
Syria,1996,2.4
Thailand,1996,3.1
Uganda,1996,63.9
Ukraine,1996,7.2
Upper middle income,1996,34.9
Uruguay,1996,0.6
United States,1996,0.7
World,1996,31.1
Zambia,1996,46.8
Argentina,1997,3.8
Austria,1997,0.2
Belgium,1997,0.5
Belize,1997,20.9
Bolivia,1997,15.5
Brazil,1997,16.0
Canada,1997,0.2
Costa Rica,1997,6.7
Germany,1997,0.0
Dominican Republic,1997,6.9
East Asia & Pacific,1997,44.6
Europe & Central Asia,1997,7.7
Spain,1997,1.0
Fragile and conflict affected situations,1997,49.1
France,1997,0.2
United Kingdom,1997,0.2
Georgia,1997,18.8
High income,1997,0.8
Honduras,1997,19.6
IDA total,1997,48.5
Israel,1997,0.2
Jordan,1997,0.4
Kenya,1997,25.4
Lao PDR,1997,43.2
Latin America & Caribbean,1997,15.1
Low income,1997,62.3
Low & middle income,1997,39.0
Luxembourg,1997,0.0
Moldova,1997,13.0
Madagascar,1997,69.4
Middle East & North Africa,1997,4.2
Malawi,1997,58.5
Malaysia,1997,0.7
Panama,1997,14.2
Peru,1997,19.8
Paraguay,1997,10.6
Russia,1997,1.5
Sub-Saharan Africa,1997,57.0
Upper middle income,1997,35.0
Uruguay,1997,0.6
United States,1997,0.7
Vietnam,1997,24.4
World,1997,30.9
Argentina,1998,4.0
Austria,1998,0.2
Burundi,1998,79.4
Burkina Faso,1998,79.9
Belarus,1998,21.8
Belize,1998,20.7
Brazil,1998,14.3
Canada,1998,0.5
Chile,1998,4.6
Ivory Coast,1998,30.4
Costa Rica,1998,5.2
Germany,1998,0.0
East Asia & Pacific,1998,45.5
Europe & Central Asia,1998,7.8
Ecuador,1998,15.7
Spain,1998,1.0
Fragile and conflict affected situations,1998,48.5
France,1998,0.0
United Kingdom,1998,0.2
Georgia,1998,17.0
Ghana,1998,55.0
"Gambia, The",1998,74.1
Guatemala,1998,14.0
Guyana,1998,11.9
High income,1998,0.9
Honduras,1998,24.5
IDA total,1998,48.6
Indonesia,1998,69.1
Iran,1998,4.5
Italy,1998,1.7
Latin America & Caribbean,1998,14.8
Low income,1998,61.6
Low & middle income,1998,39.3
Luxembourg,1998,0.0
Morocco,1998,8.4
Moldova,1998,24.0
Middle East & North Africa,1998,3.8
Mexico,1998,15.2
Mongolia,1998,28.4
Nicaragua,1998,25.8
Pakistan,1998,29.8
Panama,1998,14.5
Peru,1998,19.4
Russia,1998,2.3
El Salvador,1998,21.0
Sub-Saharan Africa,1998,56.8
Thailand,1998,2.2
Turkmenistan,1998,43.1
Upper middle income,1998,35.7
Uruguay,1998,0.6
United States,1998,0.7
Uzbekistan,1998,58.8
Venezuela,1998,10.4
World,1998,31.2
"Yemen, Rep.",1998,8.1
Zambia,1998,47.2
Argentina,1999,4.2
Armenia,1999,11.9
Austria,1999,0.2
Belarus,1999,19.2
Belize,1999,19.6
Bolivia,1999,21.9
Brazil,1999,15.0
Canada,1999,0.5
China,1999,46.0
Colombia,1999,21.4
Costa Rica,1999,6.8
Germany,1999,0.0
East Asia & Pacific,1999,42.2
Europe & Central Asia,1999,10.0
Ecuador,1999,21.8
Egypt,1999,1.4
Spain,1999,0.7
Ethiopia,1999,58.0
Fragile and conflict affected situations,1999,48.3
France,1999,0.0
United Kingdom,1999,0.2
Georgia,1999,21.8
High income,1999,1.2
Honduras,1999,24.9
IDA total,1999,48.7
Indonesia,1999,46.0
Jamaica,1999,2.3
Latin America & Caribbean,1999,15.1
Low income,1999,60.7
Low & middle income,1999,38.0
Luxembourg,1999,0.0
Moldova,1999,33.5
Madagascar,1999,66.9
Middle East & North Africa,1999,3.7
Netherlands,1999,0.2
Panama,1999,12.3
Peru,1999,19.3
Paraguay,1999,10.2
Russia,1999,4.4
El Salvador,1999,17.3
Sub-Saharan Africa,1999,56.4
Thailand,1999,4.0
Tajikistan,1999,62.0
Uganda,1999,67.9
Upper middle income,1999,33.4
United States,1999,0.7
Venezuela,1999,11.8
World,1999,30.3
Angola,2000,21.4
Argentina,2000,5.0
Austria,2000,0.0
Belgium,2000,0.3
Bangladesh,2000,33.3
Belarus,2000,13.6
Bolivia,2000,24.2
Canada,2000,0.2
Switzerland,2000,0.0
Chile,2000,5.8
Colombia,2000,17.5
Costa Rica,2000,6.9
Germany,2000,0.0
Denmark,2000,0.0
Dominican Republic,2000,6.7
East Asia & Pacific,2000,39.5
Europe & Central Asia,2000,9.2
Ecuador,2000,28.2
Spain,2000,0.7
Finland,2000,0.0
France,2000,0.0
United Kingdom,2000,0.2
Georgia,2000,22.9
Greece,2000,0.5
Guatemala,2000,9.6
High income,2000,1.0
IDA total,2000,48.4
Indonesia,2000,43.6
Ireland,2000,0.2
Italy,2000,1.2
Kyrgyz Republic,2000,38.2
Latin America & Caribbean,2000,13.8
Low income,2000,59.9
Low & middle income,2000,36.6
Luxembourg,2000,0.0
Morocco,2000,7.9
Moldova,2000,31.1
Middle East & North Africa,2000,3.4
Mexico,2000,10.7
Mauritania,2000,21.5
Norway,2000,0.2
Panama,2000,11.1
Peru,2000,19.3
Philippines,2000,14.5
Russia,2000,3.0
Rwanda,2000,75.2
El Salvador,2000,12.9
Sub-Saharan Africa,2000,56.0
Sao Tome and Principe,2000,20.4
Sweden,2000,0.0
Eswatini,2000,56.1
Thailand,2000,4.0
Tonga,2000,3.1
Tunisia,2000,4.4
Tanzania,2000,84.0
Upper middle income,2000,30.9
Uruguay,2000,0.7
United States,2000,0.7
Uzbekistan,2000,81.3
World,2000,29.2
South Africa,2000,36.8
Argentina,2001,8.2
Armenia,2001,14.0
Australia,2001,0.7
Azerbaijan,2001,6.2
Bosnia And Herzegovina,2001,0.3
Belarus,2001,6.6
Bolivia,2001,19.0
Brazil,2001,13.0
Canada,2001,0.2
Cameroon,2001,25.7
Colombia,2001,21.0
Cabo Verde,2001,19.6
Costa Rica,2001,5.1
Germany,2001,0.0
Dominican Republic,2001,5.1
East Asia & Pacific,2001,36.7
Europe & Central Asia,2001,8.3
Fragile and conflict affected situations,2001,44.8
France,2001,0.0
United Kingdom,2001,0.2
Georgia,2001,23.0
High income,2001,0.8
Honduras,2001,19.8
IDA total,2001,47.6
Indonesia,2001,39.9
Israel,2001,0.2
Kazakhstan,2001,12.8
Kyrgyz Republic,2001,33.4
Latin America & Caribbean,2001,13.5
Low income,2001,58.5
Low & middle income,2001,35.4
Luxembourg,2001,0.0
Moldova,2001,23.3
Madagascar,2001,71.0
Middle East & North Africa,2001,3.3
Mali,2001,57.2
Nicaragua,2001,17.8
Pakistan,2001,33.3
Panama,2001,14.0
Peru,2001,20.3
Paraguay,2001,8.9
Russia,2001,1.8
Senegal,2001,52.4
El Salvador,2001,14.1
Sub-Saharan Africa,2001,55.0
Sweden,2001,0.2
Timor-Leste,2001,40.9
Upper middle income,2001,28.8
Uruguay,2001,0.5
United States,2001,0.7
Venezuela,2001,10.3
World,2001,28.3
Albania,2002,1.1
Argentina,2002,12.4
Armenia,2002,10.0
Azerbaijan,2002,0.1
Belarus,2002,4.4
Bolivia,2002,19.7
Brazil,2002,11.7
Botswana,2002,29.1
Canada,2002,0.2
Switzerland,2002,0.0
China,2002,36.5
Ivory Coast,2002,29.1
Colombia,2002,14.2
Costa Rica,2002,4.7
Czech Republic,2002,0.0
Germany,2002,0.0
Djibouti,2002,22.5
Dominican Republic,2002,7.6
East Asia & Pacific,2002,32.7
Europe & Central Asia,2002,7.4
Fragile and conflict affected situations,2002,44.2
Fiji,2002,1.7
France,2002,0.0
United Kingdom,2002,0.2
Georgia,2002,12.7
Guinea,2002,53.3
Guinea-Bissau,2002,53.2
High income,2002,0.7
Honduras,2002,22.0
IDA total,2002,46.8
Indonesia,2002,26.8
Ireland,2002,0.2
Israel,2002,0.5
Italy,2002,1.5
Jamaica,2002,2.1
Jordan,2002,0.2
Kazakhstan,2002,8.9
Kyrgyz Republic,2002,31.1
Lao PDR,2002,25.4
Latin America & Caribbean,2002,12.6
Low income,2002,59.3
Sri Lanka,2002,11.0
Lower middle income,2002,38.5
Low & middle income,2002,33.6
Lesotho,2002,66.3
