Year,Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Gini_Index_Rank,Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Price_Level_Index_Rank,Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Consumer_Price_Index_Rank,Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],Natural_Resources_Rents_Rank,UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021],UHC_Service_Coverage_Rank
2021,Afghanistan,AFG,,68,16.6263302067621,2,166.418480358434,125,0.428525449642917,50,42.0,47
2021,Albania,ALB,,68,39.7655890223611,78,123.447406489024,69,1.44260146706838,79,69.0,23
2021,Algeria,DZA,,68,28.6997163356223,22,166.218894516626,124,22.5902703479201,162,69.0,23
2021,American Samoa,ASM,,68,,201,,178,0.0,1,,59
2021,Andorra,AND,,68,71.5053622899888,158,,178,0.0,1,74.0,18
2021,Angola,AGO,,68,25.9967838981942,10,583.675779438661,170,29.9674348417559,171,38.0,51
2021,Antigua and Barbuda,ATG,,68,67.384993588483,152,118.555594720979,46,0.0,1,80.0,12
2021,Argentina,ARG,42.4,58,40.8285397167516,84,,178,2.65308888983975,96,80.0,12
2021,Armenia,ARM,27.9,8,29.4263704063936,24,140.134410734876,103,7.05429982361028,124,71.0,21
2021,Aruba,ABW,,68,76.1985246029648,163,,178,0.0020661282461218,6,,59
2021,Australia,AUS,,68,104.168691118311,191,124.271592622831,74,13.3578752832739,146,89.0,3
2021,Austria,AUT,30.7,18,85.1986982364327,173,123.000843561169,66,0.117855774382781,33,84.0,8
2021,Azerbaijan,AZE,,68,26.8904794664944,14,171.943182758333,130,29.9383945565987,170,67.0,25
2021,"Bahamas, The",BHS,,68,97.7568686008453,184,119.641038306054,52,0.0147540061086709,16,80.0,12
2021,Bahrain,BHR,,68,49.400361294442,111,115.315875502436,37,16.6400337175308,149,78.0,14
2021,Bangladesh,BGD,,68,33.3668338762788,41,200.437039174983,144,0.610069177584654,59,52.0,38
2021,Barbados,BRB,,68,119.210171699524,199,,178,0.328405869203115,44,81.0,11
2021,Belarus,BLR,,68,27.125674876434,16,587.301149813957,171,1.86330240223309,86,80.0,12
2021,Belgium,BEL,26.6,5,85.1473673069754,172,120.856958300437,58,0.0448914290094104,23,85.0,7
2021,Belize,BLZ,,68,52.4310171604155,121,109.728123082433,14,0.523036536890701,55,69.0,23
2021,Benin,BEN,34.4,35,38.064137319197,63,116.04419147224,40,2.30442028320417,94,37.0,52
2021,Bermuda,BMU,,68,122.146320343018,200,,178,0.0,1,,59
2021,Bhutan,BTN,,68,26.5299225735699,11,192.704073301911,141,2.73325446048629,97,68.0,24
2021,Bolivia,BOL,40.9,56,35.8025589486107,54,150.816761737338,112,9.46769419569564,135,66.0,26
2021,Bosnia and Herzegovina,BIH,30.3,17,39.8941793399502,81,105.850178320985,9,0.813398711441269,63,64.0,28
2021,Botswana,BWA,,68,43.472249726079,96,163.633196988276,122,1.03853443914101,69,60.0,31
2021,Brazil,BRA,52.9,66,44.1063655198667,101,187.117425058295,139,7.94111199933246,130,84.0,8
2021,Brunei Darussalam,BRN,,68,39.6261217644167,76,102.69810471103,3,24.2800139399884,164,84.0,8
2021,Bulgaria,BGR,39.0,50,41.8815172051616,89,120.168304321484,54,0.917744335906696,66,72.0,20
2021,Burkina Faso,BFA,37.4,46,36.0168978396194,55,114.434519867232,32,20.1354014379911,158,45.0,44
2021,Burundi,BDI,,68,25.5886536688489,9,211.871226580911,149,13.9570339894077,147,45.0,44
2021,Cabo Verde,CPV,,68,51.6750483152882,119,113.241195056328,25,17.6577234520724,153,70.0,22
2021,Cambodia,KHM,,68,34.8147437686668,47,137.850836238126,98,0.835283715830679,65,59.0,32
2021,Cameroon,CMR,42.2,57,34.8869706544948,51,124.302010149148,75,5.52598268395679,116,43.0,46
2021,Canada,CAN,31.1,19,92.7915649476044,180,121.587006296508,62,4.94905581435186,111,92.0,1
2021,Cayman Islands,CYM,,68,116.571065363394,198,,178,0.0,1,,59
2021,Central African Republic,CAF,43.0,60,43.6189893858498,97,160.95649049113,120,10.2601957578803,138,33.0,55
2021,Chad,TCD,,68,38.8636644044548,70,122.00219164626,63,21.3429312625159,160,25.0,58
2021,Channel Islands,CHI,,68,,201,,178,,181,,59
2021,Chile,CHL,,68,55.7130143098494,130,142.081272844549,104,16.9044168802743,151,82.0,10
2021,China,CHN,35.7,42,61.8301183741458,140,129.366216637456,87,1.70756488252672,82,84.0,8
2021,Colombia,COL,55.1,67,35.7969819066022,53,149.559763199865,111,5.32396445388134,114,82.0,10
2021,Comoros,COM,,68,46.0339178752072,108,119.366148163656,51,1.62843413378353,81,54.0,36
2021,"Congo, Dem. Rep.",COD,,68,42.4806895585243,91,,178,38.8272665239082,178,40.0,49
2021,"Congo, Rep.",COG,,68,40.173679367009,82,129.158575405591,86,37.7125480946685,177,45.0,44
2021,Costa Rica,CRI,48.7,63,53.8219877576884,125,132.020379357514,89,0.763407374189705,62,84.0,8
2021,Cote d'Ivoire,CIV,35.3,40,40.626932513803,83,121.388699871755,61,4.73502206212113,110,46.0,43
2021,Croatia,HRV,28.9,12,48.1685613036476,109,112.795275590551,21,0.681198197003712,61,76.0,16
2021,Cuba,CUB,,68,,201,,178,,181,86.0,6
2021,Curacao,CUW,,68,71.4516506514737,157,,178,0.0,1,,59
2021,Cyprus,CYP,31.3,20,69.1495418540169,154,104.348039621067,5,0.0127645649104764,14,75.0,17
2021,Czechia,CZE,26.2,4,57.9471972568405,132,124.771546317864,77,0.394999591152656,48,83.0,9
2021,Data from database: World Development Indicators,,,68,,201,,178,,181,,59
2021,Denmark,DNK,28.3,9,100.018369599606,188,112.864922774752,22,0.33866438619955,45,85.0,7
2021,Djibouti,DJI,,68,50.7694026111987,117,105.423336426976,8,0.277110490356489,39,47.0,42
2021,Dominica,DMA,,68,52.985120702673,122,109.097704942729,12,0.0330678676450178,20,75.0,17
2021,Dominican Republic,DOM,38.5,48,38.6654786936087,68,148.476613026711,110,2.07711318519727,91,78.0,14
2021,Ecuador,ECU,45.8,62,44.8739469051361,104,123.886850743311,71,6.69943720189179,122,78.0,14
2021,"Egypt, Arab Rep.",EGY,28.5,10,24.5673676217871,8,318.936481308266,162,5.1391200748227,112,71.0,21
2021,El Salvador,SLV,39.0,50,42.9484784603119,93,114.656913864201,34,0.535264947589614,56,78.0,14
2021,Equatorial Guinea,GNQ,,68,41.2903242977651,86,130.14745508982,88,23.500064053404,163,50.0,39
2021,Eritrea,ERI,,68,32.7593959979157,37,,178,,181,39.0,50
2021,Estonia,EST,31.8,23,63.1701599612393,142,127.257572871023,82,1.72122598420606,83,79.0,13
2021,Eswatini,SWZ,,68,39.8781667048552,79,,178,2.99915237990705,99,67.0,25
2021,Ethiopia,ETH,31.1,19,34.5002826134764,46,492.356913864235,168,5.86707347361267,118,29.0,57
2021,Faroe Islands,FRO,,68,101.444450252803,189,,178,0.0,1,,59
2021,Fiji,FJI,,68,43.9502521788072,99,132.070621413067,90,2.25290361305504,93,69.0,23
2021,Finland,FIN,27.7,7,93.5002341988357,182,115.130462665655,36,0.448312840515242,52,86.0,6
2021,France,FRA,31.5,21,83.2584127577506,167,112.388921149413,19,0.0325366370984223,19,82.0,10
2021,French Polynesia,PYF,,68,,201,,178,0.0035701262568816,10,,59
2021,Gabon,GAB,,68,44.167537961127,102,125.637671569116,79,18.4933440925176,156,48.0,41
2021,"Gambia, The",GMB,,68,28.1478865301837,21,196.461489499352,142,2.85673041093642,98,49.0,40
2021,Georgia,GEO,34.2,33,26.8751327125942,13,154.011208333333,117,1.38946631019879,77,70.0,22
2021,Germany,DEU,33.6,29,83.5839028910839,169,116.484275880085,41,0.0770848993139744,26,86.0,6
2021,Ghana,GHA,,68,37.0062130126205,62,336.492909542398,164,13.3474845007777,145,54.0,36
2021,Greece,GRC,32.9,26,61.5985346372083,139,101.909213734394,2,0.0875219452812631,29,78.0,14
2021,Greenland,GRL,,68,83.8878914645498,171,,178,,181,,59
2021,Grenada,GRD,,68,62.8981766877352,141,108.57648052784,10,0.0,1,76.0,16
2021,Guam,GUM,,68,,201,,178,0.0,1,,59
2021,Guatemala,GTM,,68,41.5438791843126,88,153.80123012521,116,1.92928512463796,89,59.0,32
2021,Guinea,GIN,,68,33.2984860934204,40,327.371054687123,163,4.51955879028644,109,41.0,48
2021,Guinea-Bissau,GNB,33.4,28,36.736673852764,60,116.559575493745,42,10.4285037712862,139,44.0,45
2021,Guyana,GUY,,68,43.1247336115483,94,123.251485665774,68,33.6832711741997,174,80.0,12
2021,Haiti,HTI,,68,58.5477871520706,134,305.355546890834,159,0.327641965983974,43,44.0,45
2021,Honduras,HND,,68,44.0940832877959,100,162.529327177779,121,1.22455313744521,73,64.0,28
2021,"Hong Kong SAR, China",HKG,,68,75.5416427954355,162,137.102951115116,97,0.0009926085915797,5,,59
2021,Hungary,HUN,,68,48.9380376007852,110,132.112676056338,91,0.402362635857113,49,80.0,12
2021,Iceland,ISL,,68,112.283988351667,195,138.573742998267,100,0.0001069677377933,2,90.0,2
2021,India,IND,,68,27.8212257889918,19,192.378724699015,140,3.15934537555664,100,67.0,25
2021,Indonesia,IDN,35.5,41,33.6062401419005,43,156.48276998491,119,5.15704008451705,113,66.0,26
2021,"Iran, Islamic Rep.",IRN,35.5,41,28.9915941994253,23,1031.65750196386,174,30.4480600937139,172,81.0,11
2021,Iraq,IRQ,,68,38.2389926252694,64,127.574201605207,84,43.4458576871878,179,64.0,28
2021,Ireland,IRL,29.4,15,88.9296525445722,176,108.7002317253,11,0.10098823103923,30,82.0,10
2021,Isle of Man,IMN,,68,,201,,178,,181,,59
2021,Israel,ISR,37.9,47,113.233418967196,196,109.128926968584,13,0.441424749575518,51,85.0,7
2021,Italy,ITA,34.8,37,73.9633749348825,161,112.541250526224,20,0.112009125283042,31,82.0,10
2021,Jamaica,JAM,39.9,52,53.9338963739056,126,181.00906404486,135,0.457652062306756,53,75.0,17
2021,Japan,JPN,,68,90.393968573992,177,105.211812269292,6,0.0473044627668744,24,85.0,7
2021,Jordan,JOR,,68,45.5595070207623,107,127.719016475095,85,0.0776640966166585,27,71.0,21
2021,Kazakhstan,KAZ,29.2,14,30.3030595939351,26,218.265731563045,152,26.8423173327291,166,84.0,8
2021,Kenya,KEN,38.7,49,38.6104738133398,67,212.472085832078,150,1.22792857770901,74,53.0,37
2021,Kiribati,KIR,,68,73.5657212195103,160,105.218806716601,7,0.043500143330191,22,53.0,37
2021,"Korea, Dem. People's Rep.",PRK,,68,,201,,178,,181,80.0,12
2021,"Korea, Rep.",KOR,32.9,26,72.5439514622864,159,118.669872413341,47,0.049812574781783,25,87.0,5
2021,Kosovo,XKX,49.4,64,42.6326878924815,92,122.267091891806,65,0.928898942515976,67,,59
2021,Kuwait,KWT,,68,67.1615390908667,151,133.68779685455,93,,181,83.0,9
2021,Kyrgyz Republic,KGZ,28.8,11,23.533553344054,5,185.228945555436,137,11.5065410174076,142,73.0,19
2021,Lao PDR,LAO,,68,31.2613229822277,33,148.164378148681,109,5.38276112647354,115,60.0,31
2021,Last Updated: 04/08/2026,,,68,,201,,178,,181,,59
2021,Latvia,LVA,34.3,34,54.8923970790689,129,120.949398596532,59,1.16511975350878,71,76.0,16
2021,Lebanon,LBN,,68,34.8745879413016,50,612.355015021184,172,0.0027640383924288,8,68.0,24
2021,Lesotho,LSO,,68,41.9126763611117,90,173.512105268925,132,4.31788190525398,107,55.0,35
2021,Liberia,LBR,,68,43.3967147111521,95,357.230882302137,167,21.9156000871056,161,48.0,41
2021,Libya,LBY,,68,39.0446075093171,71,260.082820215574,156,61.0347089411103,180,69.0,23
2021,Liechtenstein,LIE,,68,,201,,178,,181,,59
2021,Lithuania,LTU,36.7,44,52.0353695860457,120,125.413564341792,78,0.28612663033099,41,77.0,15
2021,Luxembourg,LUX,32.7,25,98.6790991945721,185,118.963508963509,48,0.0047513675751151,12,83.0,9
2021,"Macao SAR, China",MAC,,68,61.1723794398522,137,145.252360796339,107,0.000724556273813,4,,59
2021,Madagascar,MDG,36.8,45,30.6491387389061,29,203.221994008737,147,5.5311886434036,117,34.0,54
2021,Malawi,MWI,,68,36.5874225353305,58,496.827527221711,169,4.22250421289741,106,55.0,35
2021,Malaysia,MYS,40.7,54,36.5595643833825,57,123.05449091818,67,6.92196634868479,123,79.0,13
2021,Maldives,MDV,,68,53.4107254140886,124,135.424149976868,94,0.0037018224234721,11,68.0,24
2021,Mali,MLI,35.7,42,36.7378295492288,61,113.489249057224,28,18.4178821970492,155,42.0,47
2021,Malta,MLT,31.6,22,67.010167453152,150,115.887166319179,39,0.0,1,82.0,10
2021,Marshall Islands,MHL,,68,93.311940340638,181,,178,0.0,1,66.0,26
2021,Mauritania,MRT,,68,33.3721789119602,42,143.168520868821,105,11.4487520863931,141,39.0,50
2021,Mauritius,MUS,,68,39.8854047693561,80,138.635551188743,102,0.0027152691322786,7,76.0,16
2021,Mexico,MEX,,68,49.6283273304286,112,154.676672089174,118,3.64307338835023,101,79.0,13
2021,"Micronesia, Fed. Sts.",FSM,,68,88.8964333686323,175,120.401378078118,55,0.0178477556025635,17,64.0,28
2021,Moldova,MDA,25.7,3,33.634626751924,44,181.261454671574,136,0.235942049452034,38,70.0,22
2021,Monaco,MCO,,68,,201,,178,0.0,1,85.0,7
2021,Mongolia,MNG,,68,30.5404215226533,28,217.990721824726,151,33.1372162654312,173,71.0,21
2021,Montenegro,MNE,34.3,34,39.3293574456737,72,119.249434576437,49,0.637197671980386,60,69.0,23
2021,Morocco,MAR,,68,43.9037408071231,98,113.419774613788,26,0.391702933228196,47,65.0,27
2021,Mozambique,MOZ,,68,34.991452048044,52,200.799346249151,146,14.9074768559672,148,47.0,42
2021,Myanmar,MMR,,68,23.9979534458426,6,,178,8.6785038087485,132,50.0,39
2021,Namibia,NAM,,68,45.4505143063639,106,167.298294033139,126,4.03058059383138,105,61.0,30
2021,Nepal,NPL,,68,27.5558176768439,18,205.436334049118,148,0.498936909947826,54,54.0,36
2021,Netherlands,NLD,25.7,3,87.7043335833319,174,120.523715504927,56,0.340536679351668,46,85.0,7
2021,New Caledonia,NCL,,68,,201,,178,16.7918673249355,150,,59
2021,New Zealand,NZL,,68,103.526948649031,190,120.779210747308,57,1.49411356490814,80,89.0,3
2021,Nicaragua,NIC,,68,30.0370143555786,25,177.047156631849,134,3.84080893833151,103,71.0,21
2021,Niger,NER,32.9,26,38.3906873713313,66,116.809397403471,43,6.40907047167716,120,36.0,53
2021,Nigeria,NGA,,68,36.7331562115859,59,354.296242254442,165,8.55295423830806,131,47.0,42
2021,North Macedonia,MKD,,68,34.41431152744,45,118.464166666667,45,0.136921063560563,35,68.0,24
2021,Northern Mariana Islands,MNP,,68,,201,,178,,181,,59
2021,Norway,NOR,29.1,13,104.594924330617,192,126.06098995566,80,10.0482763904291,137,88.0,4
2021,Oman,OMN,,68,50.1129422603256,115,115.379503467114,38,29.2115792686173,169,73.0,19
2021,Pakistan,PAK,,68,27.1146827863952,15,219.078900139702,153,1.43561633294011,78,55.0,35
2021,Palau,PLW,,68,82.4384959173551,166,124.584804918221,76,0.0,1,73.0,19
2021,Panama,PAN,50.9,65,50.1403868198395,116,122.136031309897,64,3.6647948599442,102,83.0,9
2021,Papua New Guinea,PNG,,68,65.5680586987692,148,170.839243117812,127,27.3866812481734,168,30.0,56
2021,Paraguay,PRY,42.9,59,38.795709359863,69,153.370941306755,115,1.34701587848651,76,79.0,13
2021,Peru,PER,40.1,53,44.6724889831707,103,138.576404455789,101,12.7247082349187,143,68.0,24
2021,Philippines,PHL,40.7,54,39.336967325284,73,137.936373936063,99,1.97263339590791,90,68.0,24
2021,Poland,POL,28.5,10,45.3865049733907,105,123.925480416605,72,1.03024380772929,68,82.0,10
2021,Portugal,PRT,34.6,36,63.9238020868207,145,112.010549789253,17,0.291415692065373,42,83.0,9
2021,Puerto Rico (US),PRI,,68,80.4228127002716,165,,178,0.0,1,,59
2021,Qatar,QAT,,68,61.4142810905374,138,115.041180060887,35,27.2897873992471,167,84.0,8
2021,Romania,ROU,33.9,32,39.7184377821259,77,133.455469478653,92,1.144376067244,70,76.0,16
2021,Russian Federation,RUS,35.1,39,32.157180682984,35,199.372063343799,143,18.5109394363314,157,80.0,12
2021,Rwanda,RWA,,68,30.3480654433921,27,165.297890975286,123,4.01723634071877,104,55.0,35
2021,Samoa,WSM,,68,63.3305035056104,143,119.336646996638,50,0.280275449205485,40,62.0,29
2021,San Marino,SMR,,68,83.6765304170557,170,114.155391827031,31,,181,74.0,18
2021,Sao Tome and Principe,STP,,68,41.212526631236,85,236.774773301467,154,1.88439596006627,87,59.0,32
2021,Saudi Arabia,SAU,,68,50.9180291493733,118,127.298158314394,83,25.5652418188141,165,82.0,10
2021,Senegal,SEN,36.2,43,38.2901362755922,65,114.474038812672,33,4.40159712005452,108,48.0,41
2021,Serbia,SRB,33.1,27,41.3584595614276,87,152.241431604489,113,1.74631766481948,84,72.0,20
2021,Seychelles,SYC,,68,49.9766426755395,114,144.370984575085,106,0.120645132507182,34,78.0,14
2021,Sierra Leone,SLE,,68,31.0732057912374,31,297.191234531916,157,9.03701414128967,133,45.0,44
2021,Singapore,SGP,,68,60.3662540365433,135,116.886967483067,44,0.0001809891091995,3,88.0,4
2021,Sint Maarten (Dutch part),SXM,,68,80.3524888427564,164,,178,,181,,59
2021,Slovak Republic,SVK,24.1,1,57.717608857751,131,121.276123953656,60,0.226150293544136,37,80.0,12
2021,Slovenia,SVN,24.3,2,63.5695713639525,144,113.117909327683,24,0.189323915465621,36,83.0,9
2021,Solomon Islands,SLB,,68,83.4103054360254,168,136.847236823755,96,18.395048524098,154,46.0,43
2021,"Somalia, Fed. Rep.",SOM,,68,39.4347459077834,75,,178,11.2356934915275,140,29.0,57
2021,South Africa,ZAF,,68,49.9106767892002,113,171.650452295614,128,7.32857859192335,125,72.0,20
2021,South Sudan,SSD,,68,66.6367243015678,149,22570.7110312611,177,,181,41.0,48
2021,Spain,ESP,33.9,32,69.6007190271307,155,114.024422110457,30,0.115181021827658,32,84.0,8
2021,Sri Lanka,LKA,,68,27.9192836475043,20,176.681451206782,133,0.0832444969793704,28,72.0,20
2021,St. Kitts and Nevis,KNA,,68,68.2656279316655,153,104.235929197152,4,0.0,1,80.0,12
2021,St. Lucia,LCA,,68,54.7565133483322,128,111.397536282109,15,0.0134294898917373,15,77.0,15
2021,St. Martin (French part),MAF,,68,,201,,178,,181,,59
2021,St. Vincent and the Grenadines,VCT,,68,53.33826718507,123,111.701423369745,16,0.0193291690653381,18,74.0,18
2021,Sudan,SDN,,68,21.9183550927073,3,16245.8889681416,176,12.7502116848016,144,46.0,43
2021,Suriname,SUR,,68,27.2498881151228,17,632.494660552573,173,9.59272209392741,136,75.0,17
2021,Sweden,SWE,29.8,16,97.5184275582571,183,113.461278849041,27,1.20827979934218,72,85.0,7
2021,Switzerland,CHE,33.8,31,115.633508569553,197,99.3992842451936,1,0.0091074031194559,13,86.0,6
2021,Syrian Arab Republic,SYR,,68,14.4488910531509,1,,178,,181,72.0,20
2021,Tajikistan,TJK,32.4,24,22.497936388379,4,,178,9.04634759702914,134,71.0,21
2021,Tanzania,TZA,,68,33.2043803881312,39,200.742671235263,145,6.69370906979479,121,46.0,43
2021,Thailand,THA,34.9,38,34.8628549688591,49,113.689320040059,29,1.8170265297611,85,82.0,10
2021,Timor-Leste,TLS,,68,39.3393218517303,74,152.951463496811,114,34.7297460391742,175,47.0,42
2021,Togo,TGO,37.9,47,36.4586628132233,56,120.045614301505,53,7.86417419787513,129,38.0,51
2021,Tonga,TON,27.1,6,71.0445400943367,156,135.565368559565,95,0.0407524657583253,21,70.0,22
2021,Trinidad and Tobago,TTO,,68,58.1080558240389,133,146.995044259351,108,7.85936855870429,128,74.0,18
2021,Tunisia,TUN,33.7,30,31.395345451159,34,173.439427529047,131,2.24923087429424,92,75.0,17
2021,Turkiye,TUR,44.4,61,31.0904649819534,32,314.806147234679,160,0.827048726504594,64,77.0,15
2021,Turkmenistan,TKM,,68,34.8256878930259,48,,178,,181,80.0,12
2021,Turks and Caicos Islands,TCA,,68,109.070706367493,193,,178,0.0032675007747061,9,,59
2021,Tuvalu,TUV,,68,110.313946574658,194,,178,0.0,1,65.0,27
2021,Uganda,UGA,,68,32.8796239505827,38,185.892180700766,138,7.47552032336567,126,53.0,37
2021,Ukraine,UKR,,68,26.7613835467203,12,316.447595987548,161,7.5129023639251,127,79.0,13
2021,United Arab Emirates,ARE,,68,64.3313052785729,146,112.345016399902,18,17.634095847399,152,84.0,8
2021,United Kingdom,GBR,32.4,24,92.00471084282,179,123.848714629184,70,0.588544260440276,58,88.0,4
2021,United States,USA,39.7,51,100.0,187,124.266413825838,73,1.27994423022721,75,87.0,5
2021,Uruguay,URY,40.8,55,60.7566206370559,136,239.976021238332,155,1.92773520463627,88,83.0,9
2021,Uzbekistan,UZB,32.9,26,24.4226495249425,7,355.018882210762,166,20.46516083278,159,79.0,13
2021,Vanuatu,VUT,,68,99.0868937359439,186,126.262874104585,81,0.568069760913224,57,53.0,37
2021,"Venezuela, RB",VEN,,68,,201,,178,,181,77.0,15
2021,Viet Nam,VNM,,68,30.7429968389287,30,171.880422664063,129,2.54701708790768,95,71.0,21
2021,Virgin Islands (U.S.),VIR,,68,90.7823741436005,178,,178,,181,,59
2021,West Bank and Gaza,PSE,,68,64.9577372979557,147,113.070878047339,23,0.0,1,66.0,26
2021,"Yemen, Rep.",YEM,,68,,201,,178,,181,45.0,44
2021,Zambia,ZMB,,68,32.1766926776756,36,299.818966181342,158,35.2641479964325,176,56.0,34
2021,Zimbabwe,ZWE,,68,54.1445493698119,127,5411.00244498777,175,6.39845161112644,119,57.0,33
2021,,,,68,,201,,178,,181,,59
2021,,,,68,,201,,178,,181,,59
2021,,,,68,,201,,178,,181,,59
